country	continent
United States	3
Canada	3
Mexico	3
Argentina	3
Bolivia	3
Brazil	3
Colombia	3
Peru	3
Trinidad and Tobago	3
Venezuela	3
Other S. and Cent. America	3
Other South and Cental America	3
Azerbaijan	1
Denmark	1
Germany	1
Italy	1
Kazakhstan	1
Netherlands	1
Norway	1
Poland	1
Romania	1
Russian Federation	1
Turkmenistan	2
Ukraine	1
United Kingdom	1
Uzbekistan	2
Other Europe and Eurasia	1
Bahrain	2
Iran	2
Iraq	2
Kuwait	2
Oman	2
Qatar	2
Saudi Arabia	2
Syria	2
United Arab Emirates	2
Yemen	2
Other Middle East	2
Middle East	2
Algeria	4
Egypt	4
Libya	4
Nigeria	4
Other Africa	4
Australia	5
Bangladesh	2
Brunei	2
China	2
India	2
Indonesia	2
Malaysia	2
Myanmar	2
Pakistan	2
Papua New Guinea	5
Thailand	2
Vietnam	2
Other Asia Pacific	2
Austria	1
Belgium	1
Czech Republic	1
Finland	1
France	1
Greece	1
Hungary	1
Ireland	1
Netherlands	1
Slovakia	1
Spain	1
Turkey	1
Other Europe	1
Belarus	1
Other Former Soviet Union	1
South Africa	4
Hong Kong	2
Singapore	2
Taiwan	2
South Korea	2
Japan	2
Equatorial Guinea	4
